Xcoordinate	Ycoordinate
4.5	0
4.51	0
4.52	0
4.53	0
4.54	0
4.55	0
4.56	0
4.57	0
4.58	0
4.59	0
4.6	0
4.61	0
4.62	0
4.63	0
4.64	0
4.65	0
4.66	0
4.67	0
4.68	0
4.69	0
4.7	0
4.71	0
4.72	0
4.73	0
4.74	0
4.75	0
4.76	0
4.77	0
4.78	0
4.79	0
4.8	0
4.81	0
4.82	0
4.83	0
4.84	0
4.85	0
4.86	0
4.87	0
4.88	0
4.89	0
4.9	0
4.91	0
4.92	0
4.93	0
4.94	0
4.95	0
4.96	0
4.97	0
4.98	0
4.99	0
5	0
5.01	-0.01
5.02	-0.02
5.03	-0.03
5.04	-0.04
5.05	-0.05
5.06	-0.06
5.07	-0.07
5.08	-0.08
5.09	-0.09
5.1	-0.1
5.11	-0.11
5.12	-0.12
5.13	-0.13
5.14	-0.14
5.15	-0.15
5.16	-0.16
5.17	-0.17
5.18	-0.18
5.19	-0.19
5.2	-0.2
5.21	-0.21
5.22	-0.22
5.23	-0.23
5.24	-0.24
5.25	-0.25
5.26	-0.26
5.27	-0.27
5.28	-0.28
5.29	-0.29
5.3	-0.3
5.31	-0.31
5.32	-0.32
5.33	-0.33
5.34	-0.34
5.35	-0.35
5.36	-0.36
5.37	-0.37
5.38	-0.38
5.39	-0.39
5.4	-0.4
5.41	-0.41
5.42	-0.42
5.43	-0.43
5.44	-0.44
5.45	-0.45
5.46	-0.46
5.47	-0.47
5.48	-0.48
5.49	-0.49
5.5	-0.5
5.51	-0.51
5.52	-0.52
5.53	-0.53
5.54	-0.54
5.55	-0.55
5.56	-0.56
5.57	-0.57
5.58	-0.58
5.59	-0.59
5.6	-0.6
5.61	-0.61
5.62	-0.62
5.63	-0.63
5.64	-0.64
5.65	-0.65
5.66	-0.66
5.67	-0.67
5.68	-0.68
5.69	-0.69
5.7	-0.7
5.71	-0.71
5.72	-0.72
5.73	-0.73
5.74	-0.74
5.75	-0.75
5.76	-0.76
5.77	-0.77
5.78	-0.78
5.79	-0.79
5.8	-0.8
5.81	-0.81
5.82	-0.82
5.83	-0.83
5.84	-0.84
5.85	-0.85
5.86	-0.86
5.87	-0.87
5.88	-0.88
5.89	-0.89
5.9	-0.9
5.91	-0.91
5.92	-0.92
5.93	-0.93
5.94	-0.94
5.95	-0.95
5.96	-0.96
5.97	-0.97
5.98	-0.98
5.99	-0.99
6	-1
6.01	-1
6.02	-1
6.03	-1
6.04	-1
6.05	-1
6.06	-1
6.07	-1
6.08	-1
6.09	-1
6.1	-1
6.11	-1
6.12	-1
6.13	-1
6.14	-1
6.15	-1
6.16	-1
6.17	-1
6.18	-1
6.19	-1
6.2	-1
6.21	-1
6.22	-1
6.23	-1
6.24	-1
6.25	-1
6.26	-1
6.27	-1
6.28	-1
6.29	-1
6.3	-1
6.31	-1
6.32	-1
6.33	-1
6.34	-1
6.35	-1
6.36	-1
6.37	-1
6.38	-1
6.39	-1
6.4	-1
6.41	-1
6.42	-1
6.43	-1
6.44	-1
6.45	-1
6.46	-1
6.47	-1
6.48	-1
6.49	-1
6.5	-1
6.51	-1
6.52	-1
6.53	-1
6.54	-1
6.55	-1
6.56	-1
6.57	-1
6.58	-1
6.59	-1
6.6	-1
6.61	-1
6.62	-1
6.63	-1
6.64	-1
6.65	-1
6.66	-1
6.67	-1
6.68	-1
6.69	-1
6.7	-1
6.71	-1
6.72	-1
6.73	-1
6.74	-1
6.75	-1
6.76	-1
6.77	-1
6.78	-1
6.79	-1
6.8	-1
6.81	-1
6.82	-1
6.83	-1
6.84	-1
6.85	-1
6.86	-1
6.87	-1
6.88	-1
6.89	-1
6.9	-1
6.91	-1
6.92	-1
6.93	-1
6.94	-1
6.95	-1
6.96	-1
6.97	-1
6.98	-1
6.99	-1
7	-1
7.01	-1
7.02	-1
7.03	-1
7.04	-1
7.05	-1
7.06	-1
7.07	-1
7.08	-1
7.09	-1
7.1	-1
7.11	-1
7.12	-1
7.13	-1
7.14	-1
7.15	-1
7.16	-1
7.17	-1
7.18	-1
7.19	-1
7.2	-1
7.21	-1
7.22	-1
7.23	-1
7.24	-1
7.25	-1
7.26	-1
7.27	-1
7.28	-1
7.29	-1
7.3	-1
7.31	-1
7.32	-1
7.33	-1
7.34	-1
7.35	-1
7.36	-1
7.37	-1
7.38	-1
7.39	-1
7.4	-1
7.41	-1
7.42	-1
7.43	-1
7.44	-1
7.45	-1
7.46	-1
7.47	-1
7.48	-1
7.49	-1
7.5	-1
7.51	-1
7.52	-1
7.53	-1
7.54	-1
7.55	-1
7.56	-1
7.57	-1
7.58	-1
7.59	-1
7.6	-1
7.61	-1
7.62	-1
7.63	-1
7.64	-1
7.65	-1
7.66	-1
7.67	-1
7.68	-1
7.69	-1
7.7	-1
7.71	-1
7.72	-1
7.73	-1
7.74	-1
7.75	-1
7.76	-1
7.77	-1
7.78	-1
7.79	-1
7.8	-1
7.81	-1
7.82	-1
7.83	-1
7.84	-1
7.85	-1
7.86	-1
7.87	-1
7.88	-1
7.89	-1
7.9	-1
7.91	-1
7.92	-1
7.93	-1
7.94	-1
7.95	-1
7.96	-1
7.97	-1
7.98	-1
7.99	-1
8	-1
8.01	-1
8.02	-1
8.03	-1
8.04	-1
8.05	-1
8.06	-1
8.07	-1
8.08	-1
8.09	-1
8.1	-1
8.11	-1
8.12	-1
8.13	-1
8.14	-1
8.15	-1
8.16	-1
8.17	-1
8.18	-1
8.19	-1
8.2	-1
8.21	-1
8.22	-1
8.23	-1
8.24	-1
8.25	-1
8.26	-1
8.27	-1
8.28	-1
8.29	-1
8.3	-1
8.31	-1
8.32	-1
8.33	-1
8.34	-1
8.35	-1
8.36	-1
8.37	-1
8.38	-1
8.39	-1
8.4	-1
8.41	-1
8.42	-1
8.43	-1
8.44	-1
8.45	-1
8.46	-1
8.47	-1
8.48	-1
8.49	-1
8.5	-1
8.51	-1
8.52	-1
8.53	-1
8.54	-1
8.55	-1
8.56	-1
8.57	-1
8.58	-1
8.59	-1
8.6	-1
8.61	-1
8.62	-1
8.63	-1
8.64	-1
8.65	-1
8.66	-1
8.67	-1
8.68	-1
8.69	-1
8.7	-1
8.71	-1
8.72	-1
8.73	-1
8.74	-1
8.75	-1
8.76	-1
8.77	-1
8.78	-1
8.79	-1
8.8	-1
8.81	-1
8.82	-1
8.83	-1
8.84	-1
8.85	-1
8.86	-1
8.87	-1
8.88	-1
8.89	-1
8.9	-1
8.91	-1
8.92	-1
8.93	-1
8.94	-1
8.95	-1
8.96	-1
8.97	-1
8.98	-1
8.99	-1
9	-1
9.01	-1
9.02	-1
9.03	-1
9.04	-1
9.05	-1
9.06	-1
9.07	-1
9.08	-1
9.09	-1
9.1	-1
9.11	-1
9.12	-1
9.13	-1
9.14	-1
9.15	-1
9.16	-1
9.17	-1
9.18	-1
9.19	-1
9.2	-1
9.21	-1
9.22	-1
9.23	-1
9.24	-1
9.25	-1
9.26	-1
9.27	-1
9.28	-1
9.29	-1
9.3	-1
9.31	-1
9.32	-1
9.33	-1
9.34	-1
9.35	-1
9.36	-1
9.37	-1
9.38	-1
9.39	-1
9.4	-1
9.41	-1
9.42	-1
9.43	-1
9.44	-1
9.45	-1
9.46	-1
9.47	-1
9.48	-1
9.49	-1
9.5	-1
9.51	-1
9.52	-1
9.53	-1
9.54	-1
9.55	-1
9.56	-1
9.57	-1
9.58	-1
9.59	-1
9.6	-1
9.61	-1
9.62	-1
9.63	-1
9.64	-1
9.65	-1
9.66	-1
9.67	-1
9.68	-1
9.69	-1
9.7	-1
9.71	-1
9.72	-1
9.73	-1
9.74	-1
9.75	-1
9.76	-1
9.77	-1
9.78	-1
9.79	-1
9.8	-1
9.81	-1
9.82	-1
9.83	-1
9.84	-1
9.85	-1
9.86	-1
9.87	-1
9.88	-1
9.89	-1
9.9	-1
9.91	-1
9.92	-1
9.93	-1
9.94	-1
9.95	-1
9.96	-1
9.97	-1
9.98	-1
9.99	-1
10	-1
10.01	-0.9999901
10.02	-0.9999604
10.03	-0.9999109
10.04	-0.9998416
10.05	-0.9997525
10.06	-0.9996436
10.07	-0.9995149
10.08	-0.9993664
10.09	-0.9991981
10.1	-0.99901
10.11	-0.9988021
10.12	-0.9985744
10.13	-0.9983269
10.14	-0.9980596
10.15	-0.9977725
10.16	-0.9974656
10.17	-0.9971389
10.18	-0.9967924
10.19	-0.9964261
10.2	-0.99604
10.21	-0.9956341
10.22	-0.9952084
10.23	-0.9947629
10.24	-0.9942976
10.25	-0.9938125
10.26	-0.9933076
10.27	-0.9927829
10.28	-0.9922384
10.29	-0.9916741
10.3	-0.99109
10.31	-0.9904861
10.32	-0.9898624
10.33	-0.9892189
10.34	-0.9885556
10.35	-0.9878725
10.36	-0.9871696
10.37	-0.9864469
10.38	-0.9857044
10.39	-0.9849421
10.4	-0.98416
10.41	-0.9833581
10.42	-0.9825364
10.43	-0.9816949
10.44	-0.9808336
10.45	-0.9799525
10.46	-0.9790516
10.47	-0.9781309
10.48	-0.9771904
10.49	-0.9762301
10.5	-0.97525
10.51	-0.9742501
10.52	-0.9732304
10.53	-0.9721909
10.54	-0.9711316
10.55	-0.9700525
10.56	-0.9689536
10.57	-0.9678349
10.58	-0.9666964
10.59	-0.9655381
10.6	-0.96436
10.61	-0.9631621
10.62	-0.9619444
10.63	-0.9607069
10.64	-0.9594496
10.65	-0.9581725
10.66	-0.9568756
10.67	-0.9555589
10.68	-0.9542224
10.69	-0.9528661
10.7	-0.95149
10.71	-0.9500941
10.72	-0.9486784
10.73	-0.9472429
10.74	-0.9457876
10.75	-0.9443125
10.76	-0.9428176
10.77	-0.9413029
10.78	-0.9397684
10.79	-0.9382141
10.8	-0.93664
10.81	-0.9350461
10.82	-0.9334324
10.83	-0.9317989
10.84	-0.9301456
10.85	-0.9284725
10.86	-0.9267796
10.87	-0.9250669
10.88	-0.9233344
10.89	-0.9215821
10.9	-0.91981
10.91	-0.9180181
10.92	-0.9162064
10.93	-0.9143749
10.94	-0.9125236
10.95	-0.9106525
10.96	-0.9087616
10.97	-0.9068509
10.98	-0.9049204
10.99	-0.9029701
11	-0.901
11.01	-0.8990101
11.02	-0.8970004
11.03	-0.8949709
11.04	-0.8929216
11.05	-0.8908525
11.06	-0.8887636
11.07	-0.8866549
11.08	-0.8845264
11.09	-0.8823781
11.1	-0.88021
11.11	-0.8780221
11.12	-0.8758144
11.13	-0.8735869
11.14	-0.8713396
11.15	-0.8690725
11.16	-0.8667856
11.17	-0.8644789
11.18	-0.8621524
11.19	-0.8598061
11.2	-0.85744
11.21	-0.8550541
11.22	-0.8526484
11.23	-0.8502229
11.24	-0.8477776
11.25	-0.8453125
11.26	-0.8428276
11.27	-0.8403229
11.28	-0.8377984
11.29	-0.8352541
11.3	-0.83269
11.31	-0.8301061
11.32	-0.8275024
11.33	-0.8248789
11.34	-0.8222356
11.35	-0.8195725
11.36	-0.8168896
11.37	-0.8141869
11.38	-0.8114644
11.39	-0.8087221
11.4	-0.80596
11.41	-0.8031781
11.42	-0.8003764
11.43	-0.7975549
11.44	-0.7947136
11.45	-0.7918525
11.46	-0.7889716
11.47	-0.7860709
11.48	-0.7831504
11.49	-0.7802101
11.5	-0.77725
11.51	-0.7742701
11.52	-0.7712704
11.53	-0.7682509
11.54	-0.7652116
11.55	-0.7621525
11.56	-0.7590736
11.57	-0.7559749
11.58	-0.7528564
11.59	-0.7497181
11.6	-0.74656
11.61	-0.7433821
11.62	-0.7401844
11.63	-0.7369669
11.64	-0.7337296
11.65	-0.7304725
11.66	-0.7271956
11.67	-0.7238989
11.68	-0.7205824
11.69	-0.7172461
11.7	-0.71389
11.71	-0.7105141
11.72	-0.7071184
11.73	-0.7037029
11.74	-0.7002676
11.75	-0.6968125
11.76	-0.6933376
11.77	-0.6898429
11.78	-0.6863284
11.79	-0.6827941
11.8	-0.67924
11.81	-0.6756661
11.82	-0.6720724
11.83	-0.6684589
11.84	-0.6648256
11.85	-0.6611725
11.86	-0.6574996
11.87	-0.6538069
11.88	-0.6500944
11.89	-0.6463621
11.9	-0.64261
11.91	-0.6388381
11.92	-0.6350464
11.93	-0.6312349
11.94	-0.6274036
11.95	-0.6235525
11.96	-0.6196816
11.97	-0.6157909
11.98	-0.6118804
11.99	-0.6079501
12	-0.604
12.01	-0.6000301
12.02	-0.5960404
12.03	-0.5920309
12.04	-0.5880016
12.05	-0.5839525
12.06	-0.5798836
12.07	-0.5757949
12.08	-0.5716864
12.09	-0.5675581
12.1	-0.56341
12.11	-0.5592421
12.12	-0.5550544
12.13	-0.5508469
12.14	-0.5466196
12.15	-0.5423725
12.16	-0.5381056
12.17	-0.5338189
12.18	-0.5295124
12.19	-0.5251861
12.2	-0.52084
12.21	-0.5164741
12.22	-0.5120884
12.23	-0.5076829
12.24	-0.5032576
12.25	-0.4988125
12.26	-0.4943476
12.27	-0.4898629
12.28	-0.4853584
12.29	-0.4808341
12.3	-0.47629
12.31	-0.4717261
12.32	-0.4671424
12.33	-0.4625389
12.34	-0.4579156
12.35	-0.4532725
12.36	-0.4486096
12.37	-0.4439269
12.38	-0.4392244
12.39	-0.4345021
12.4	-0.42976
12.41	-0.4249981
12.42	-0.4202164
12.43	-0.4154149
12.44	-0.4105936
12.45	-0.4057525
12.46	-0.4008916
12.47	-0.3960109
12.48	-0.3911104
12.49	-0.3861901
12.5	-0.38125
12.51	-0.3762901
12.52	-0.3713104
12.53	-0.3663109
12.54	-0.3612916
12.55	-0.3562525
12.56	-0.3511936
12.57	-0.3461149
12.58	-0.3410164
12.59	-0.3358981
12.6	-0.33076
12.61	-0.3256021
12.62	-0.3204244
12.63	-0.3152269
12.64	-0.3100096
12.65	-0.3047725
12.66	-0.2995156
12.67	-0.2942389
12.68	-0.2889424
12.69	-0.2836261
12.7	-0.27829
12.71	-0.2729341
12.72	-0.2675584
12.73	-0.2621629
12.74	-0.2567476
12.75	-0.2513125
12.76	-0.2458576
12.77	-0.2403829
12.78	-0.2348884
12.79	-0.2293741
12.8	-0.22384
12.81	-0.2182861
12.82	-0.2127124
12.83	-0.2071189
12.84	-0.2015056
12.85	-0.1958725
12.86	-0.1902196
12.87	-0.1845469
12.88	-0.1788544
12.89	-0.1731421
12.9	-0.16741
12.91	-0.1616581
12.92	-0.1558864
12.93	-0.1500949
12.94	-0.1442836
12.95	-0.1384525
12.96	-0.1326016
12.97	-0.1267309
12.98	-0.1208404
12.99	-0.1149301
13	-0.109
13.01	-0.1030501
13.02	-0.0970804
13.03	-0.0910909
13.04	-0.0850816
13.05	-0.0790525
13.06	-0.0730036
13.07	-0.0669349
13.08	-0.0608464
13.09	-0.0547381
13.1	-0.04861
13.11	-0.0424621
13.12	-0.0362944
13.13	-0.0301069
13.14	-0.0238996
13.15	-0.0176725
13.16	-0.0114256
13.17	-0.0051589
13.18	0
13.19	0
13.2	0
13.21	0
13.22	0
13.23	0
13.24	0
13.25	0
13.26	0
13.27	0
13.28	0
13.29	0
13.3	0
13.31	0
13.32	0
13.33	0
13.34	0
13.35	0
13.36	0
13.37	0
13.38	0
13.39	0
13.4	0
13.41	0
13.42	0
13.43	0
13.44	0
13.45	0
13.46	0
13.47	0
13.48	0
13.49	0
13.5	0
13.51	0
13.52	0
13.53	0
13.54	0
13.55	0
13.56	0
13.57	0
13.58	0
13.59	0
13.6	0
13.61	0
13.62	0
13.63	0
13.64	0
13.65	0
13.66	0
13.67	0
13.68	0
13.69	0
13.7	0
13.71	0
13.72	0
13.73	0
13.74	0
13.75	0
13.76	0
13.77	0
13.78	0
13.79	0
13.8	0
13.81	0
13.82	0
13.83	0
13.84	0
13.85	0
13.86	0
13.87	0
13.88	0
13.89	0
13.9	0
13.91	0
13.92	0
13.93	0
13.94	0
13.95	0
13.96	0
13.97	0
13.98	0
13.99	0
14	0
14.01	0
14.02	0
14.03	0
14.04	0
14.05	0
14.06	0
14.07	0
14.08	0
14.09	0
14.1	0
14.11	0
14.12	0
14.13	0
14.14	0
14.15	0
14.16	0
14.17	0
14.18	0
14.19	0
14.2	0
14.21	0
14.22	0
14.23	0
14.24	0
14.25	0
14.26	0
14.27	0
14.28	0
14.29	0
14.3	0
14.31	0
14.32	0
14.33	0
14.34	0
14.35	0
14.36	0
14.37	0
14.38	0
14.39	0
14.4	0
14.41	0
14.42	0
14.43	0
14.44	0
14.45	0
14.46	0
14.47	0
14.48	0
14.49	0
14.5	0
14.51	0
14.52	0
14.53	0
14.54	0
14.55	0
14.56	0
14.57	0
14.58	0
14.59	0
14.6	0
14.61	0
14.62	0
14.63	0
14.64	0
14.65	0
14.66	0
14.67	0
14.68	0
14.69	0
14.7	0
14.71	0
14.72	0
14.73	0
14.74	0
14.75	0
14.76	0
14.77	0
14.78	0
14.79	0
14.8	0
14.81	0
14.82	0
14.83	0
14.84	0
14.85	0
14.86	0
14.87	0
14.88	0
14.89	0
14.9	0
14.91	0
14.92	0
14.93	0
14.94	0
14.95	0
14.96	0
14.97	0
14.98	0
14.99	0
15	0
15.01	0
15.02	0
15.03	0
15.04	0
15.05	0
15.06	0
15.07	0
15.08	0
15.09	0
15.1	0
15.11	0
15.12	0
15.13	0
15.14	0
15.15	0
15.16	0
15.17	0
15.18	0
15.19	0
15.2	0
15.21	0
15.22	0
15.23	0
15.24	0
15.25	0
15.26	0
15.27	0
15.28	0
15.29	0
15.3	0
15.31	0
15.32	0
15.33	0
15.34	0
15.35	0
15.36	0
15.37	0
15.38	0
15.39	0
15.4	0
15.41	0
15.42	0
15.43	0
15.44	0
15.45	0
15.46	0
15.47	0
15.48	0
15.49	0
15.5	0
15.51	0
15.52	0
15.53	0
15.54	0
15.55	0
15.56	0
15.57	0
15.58	0
15.59	0
15.6	0
15.61	0
15.62	0
15.63	0
15.64	0
15.65	0
15.66	0
15.67	0
15.68	0
15.69	0
15.7	0
15.71	0
15.72	0
15.73	0
15.74	0
15.75	0
15.76	0
15.77	0
15.78	0
15.79	0
15.8	0
15.81	0
15.82	0
15.83	0
15.84	0
15.85	0
15.86	0
15.87	0
15.88	0
15.89	0
15.9	0
15.91	0
15.92	0
15.93	0
15.94	0
15.95	0
15.96	0
15.97	0
15.98	0
15.99	0
16	0
16.01	0
16.02	0
16.03	0
16.04	0
16.05	0
16.06	0
16.07	0
16.08	0
16.09	0
16.1	0
16.11	0
16.12	0
16.13	0
16.14	0
16.15	0
16.16	0
16.17	0
16.18	0
16.19	0
16.2	0
16.21	0
16.22	0
16.23	0
16.24	0
16.25	0
16.26	0
16.27	0
16.28	0
16.29	0
16.3	0
16.31	0
16.32	0
16.33	0
16.34	0
16.35	0
16.36	0
16.37	0
16.38	0
16.39	0
16.4	0
16.41	0
16.42	0
16.43	0
16.44	0
16.45	0
16.46	0
16.47	0
16.48	0
16.49	0
16.5	0
16.51	0
16.52	0
16.53	0
16.54	0
16.55	0
16.56	0
16.57	0
16.58	0
16.59	0
16.6	0
16.61	0
16.62	0
16.63	0
16.64	0
16.65	0
16.66	0
16.67	0
16.68	0
16.69	0
16.7	0
16.71	0
16.72	0
16.73	0
16.74	0
16.75	0
16.76	0
16.77	0
16.78	0
16.79	0
16.8	0
16.81	0
16.82	0
16.83	0
16.84	0
16.85	0
16.86	0
16.87	0
16.88	0
16.89	0
16.9	0
16.91	0
16.92	0
16.93	0
16.94	0
16.95	0
16.96	0
16.97	0
16.98	0
16.99	0
17	0
17.01	0
17.02	0
17.03	0
17.04	0
17.05	0
17.06	0
17.07	0
17.08	0
17.09	0
17.1	0
17.11	0
17.12	0
17.13	0
17.14	0
17.15	0
17.16	0
17.17	0
17.18	0
17.19	0
17.2	0
17.21	0
17.22	0
17.23	0
17.24	0
17.25	0
17.26	0
17.27	0
17.28	0
17.29	0
17.3	0
17.31	0
17.32	0
17.33	0
17.34	0
17.35	0
17.36	0
17.37	0
17.38	0
17.39	0
17.4	0
17.41	0
17.42	0
17.43	0
17.44	0
17.45	0
17.46	0
17.47	0
17.48	0
17.49	0
17.5	0
17.51	0
17.52	0
17.53	0
17.54	0
17.55	0
17.56	0
17.57	0
17.58	0
17.59	0
17.6	0
17.61	0
17.62	0
17.63	0
17.64	0
17.65	0
17.66	0
17.67	0
17.68	0
17.69	0
17.7	0
17.71	0
17.72	0
17.73	0
17.74	0
17.75	0
17.76	0
17.77	0
17.78	0
17.79	0
17.8	0
17.81	0
17.82	0
17.83	0
17.84	0
17.85	0
17.86	0
17.87	0
17.88	0
17.89	0
17.9	0
17.91	0
17.92	0
17.93	0
17.94	0
17.95	0
17.96	0
17.97	0
17.98	0
17.99	0
18	0
18.01	0
18.02	0
18.03	0
18.04	0
18.05	0
18.06	0
18.07	0
18.08	0
18.09	0
18.1	0
18.11	0
18.12	0
18.13	0
18.14	0
18.15	0
18.16	0
18.17	0
18.18	0
18.19	0
18.2	0
18.21	0
18.22	0
18.23	0
18.24	0
18.25	0
18.26	0
18.27	0
18.28	0
18.29	0
18.3	0
18.31	0
18.32	0
18.33	0
18.34	0
18.35	0
18.36	0
18.37	0
18.38	0
18.39	0
18.4	0
18.41	0
18.42	0
18.43	0
18.44	0
18.45	0
18.46	0
18.47	0
18.48	0
18.49	0
18.5	0
18.51	0
18.52	0
18.53	0
18.54	0
18.55	0
18.56	0
18.57	0
18.58	0
18.59	0
18.6	0
18.61	0
18.62	0
18.63	0
18.64	0
18.65	0
18.66	0
18.67	0
18.68	0
18.69	0
18.7	0
18.71	0
18.72	0
18.73	0
18.74	0
18.75	0
18.76	0
18.77	0
18.78	0
18.79	0
18.8	0
18.81	0
18.82	0
18.83	0
18.84	0
18.85	0
18.86	0
18.87	0
18.88	0
18.89	0
18.9	0
18.91	0
18.92	0
18.93	0
18.94	0
18.95	0
18.96	0
18.97	0
18.98	0
18.99	0
19	0
19.01	0
19.02	0
19.03	0
19.04	0
19.05	0
19.06	0
19.07	0
19.08	0
19.09	0
19.1	0
19.11	0
19.12	0
19.13	0
19.14	0
19.15	0
19.16	0
19.17	0
19.18	0
19.19	0
19.2	0
19.21	0
19.22	0
19.23	0
19.24	0
19.25	0
19.26	0
19.27	0
19.28	0
19.29	0
19.3	0
19.31	0
19.32	0
19.33	0
19.34	0
19.35	0
19.36	0
19.37	0
19.38	0
19.39	0
19.4	0
19.41	0
19.42	0
19.43	0
19.44	0
19.45	0
19.46	0
19.47	0
19.48	0
19.49	0
19.5	0
19.51	0
19.52	0
19.53	0
19.54	0
19.55	0
19.56	0
19.57	0
19.58	0
19.59	0
